wall_time,unix_sec,source,event
2026-09-07T15:44:39.901+08:00,1788767079.901812,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:40.901+08:00,1788767080.901999,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:41.951+08:00,1788767081.951878,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:43.001+08:00,1788767083.001823,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:44.001+08:00,1788767084.001959,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:45.002+08:00,1788767085.002138,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:46.052+08:00,1788767086.052515,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:47.101+08:00,1788767087.101832,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:48.103+08:00,1788767088.103909,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:49.153+08:00,1788767089.153659,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:50.203+08:00,1788767090.203591,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:51.256+08:00,1788767091.256314,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:51.830+08:00,1788767091.830645,console/rosbag,[px4ctrl] AUTO_LAND --> MANUAL_CTRL(L1)
2026-09-07T15:44:52.302+08:00,1788767092.302287,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:52.628+08:00,1788767092.628655,console/rosbag,"/mavros/state: [True, False, 'ALTCTL']"
2026-09-07T15:44:53.351+08:00,1788767093.351889,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:54.401+08:00,1788767094.401881,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:55.452+08:00,1788767095.452097,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:56.501+08:00,1788767096.501877,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:57.502+08:00,1788767097.502058,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:58.551+08:00,1788767098.551867,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:44:59.602+08:00,1788767099.602154,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:00.602+08:00,1788767100.602282,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:01.651+08:00,1788767101.651862,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
